"Refid","User","Level","Author(s)","Title ","Year","Domain","Domain_comment","","","Outcome","Outcome_comment","Biological measures","Did at least 1 group use CGM for glucose measurement?  ","Risk","Behaviors","Collection","Frequency of feedback","Communication","Theories ","Was the behavior change theory used to guide the study design? "
15863,"Kelli.Richardson,Michelle.Jospe",3,"Morgan, P. J., Callister, R., Collins, C. E., Plotnikoff, R. C., Young, M. D., Berry, N., McElduff, P., Burrows, T., Aguiar, E., Saunders, K. L.","The SHED-IT community trial: a randomized controlled trial of internet- and paper-based weight loss programs tailored for overweight and obese men",2013,Overweight/Obesity,,,,"Weight management ",,Weight/BMI,,No,"Diet,Physical activity",Self-measurement,"More than once",Device/One-way,"Social Cognitive Theory","Yes, study design guided by theory"
15890,"Kelli.Richardson,Michelle.Jospe",3,"Moriyasu, T., Hosoda, K., Tanaka-Mizuno, S., Konda, M., Ueshima, K., Ida, M., Nin, K.","Effects of monthly feedback of VFA measured by dual BIA method in Japanese patients with obesity: a randomized controlled study",2017,Overweight/Obesity,,,,"Weight management ",,"Body composition/Body fat,Weight/BMI",,No,"Diet,Physical activity","Self-measurement,Other","More than once","Device,Real-time","None explicitly stated",
15917,"Kelli.Richardson,Michelle.Jospe",3,"Morrish, N. J., Cohen, D. L., Hicks, B., Keen, H.","A controlled study of the effect of computer-aided analysis of home blood glucose monitoring on blood glucose control",1989,Diabetes,,,Unspecified,"Glycemic control",,Glucose,,No,Diet,Self-measurement,"More than once",Device/Real-time,"None explicitly stated",
15947,"Kelli.Richardson,Michelle.Jospe",3,"Mosca, L., Mochari, H., Liao, M., Christian, A. H., Edelman, D. J., Aggarwal, B., Oz, M. C.","A novel family-based intervention trial to improve heart health: FIT Heart: results of a randomized controlled trial",2008,CVD,,,,"Lipid management",,"Blood pressure,Lipids,Weight/BMI",,"Mixed use (some were,  some weren't)","Diet,Physical activity,Smoking cessation/reduction",Other,"More than once",Real-time,"Health Belief Model,Transtheoretical Model","Yes, study design guided by theory"
16019,"Kelli.Richardson,Michelle.Jospe",3,"Muchmore, D. B., Springer, J., Miller, M.","Self-monitoring of blood glucose in overweight type 2 diabetic patients",1994,Diabetes,,,"Type 2 diabetes","Glycemic control",,Glucose,,No,Diet,Self-measurement,"More than once",Device/Real-time,"None explicitly stated",
16032,"Kelli.Richardson,Michelle.Jospe",3,"Muhammad, J., Jamial, M. M., Ishak, A.","Home Blood Pressure Monitoring Has Similar Effects on Office Blood Pressure and Medication Compliance as Usual Care",2019,CVD,,,,"Blood pressure management",,"Blood pressure",,No,"Medication/treatment use or adherence",Self-measurement,"More than once",Device,"None explicitly stated",
16126,"Kelli.Richardson,Michelle.Jospe",3,"Muralidharan, S., Ranjani, H., Mohan Anjana, R., Jena, S., Tandon, N., Gupta, Y., Ambekar, S., Koppikar, V., Jagannathan, N., Allender, S., Mohan, V.","Engagement and Weight Loss: Results from the Mobile Health and Diabetes Trial",2019,Diabetes,,,Prediabetes,"Weight management ",,Weight/BMI,,No,"Diet,Physical activity",Self-measurement,"More than once",Device/One-way/Real-time,"None explicitly stated",
16145,"Kelli.Richardson,Michelle.Jospe",3,"Murphy, H. R., Rayman, G., Lewis, K., Kelly, S., Johal, B., Duffield, K., Fowler, D., Campbell, P. J., Temple, R. C.","Effectiveness of continuous glucose monitoring in pregnant women with diabetes: randomised clinical trial",2008,Diabetes,,,"Type 1 diabetes,Type 2 diabetes","Glycemic control",,Glucose,,No,"Diet,Medication/treatment use or adherence,Physical activity",Self-measurement,"More than once","Device,Device/One-way/Real-time","None explicitly stated",
16164,"Kelli.Richardson,Michelle.Jospe",3,"Murray, D. M., Luepker, R. V., Pirie, P. L., Grimm, R. H., Jr., Bloom, E., Davis, M. A., Blackburn, H.","Systematic risk factor screening and education: a community-wide approach to prevention of coronary heart disease",1986,"General health promotion",,,,Other,"CVD prevention","Blood pressure,Carbon monoxide,Lipids,Weight/BMI",,"Mixed use (some were,  some weren't)","Diet,Medical screening uptake,Medication/treatment use or adherence,Physical activity,Smoking cessation/reduction",Other,Once,Real-time,"None explicitly stated",
16283,"Kelli.Richardson,Michelle.Jospe",3,"Nah, E. H., Chu, J., Kim, S., Cho, S., Kwon, E.","Efficacy of lifestyle interventions in the reversion to normoglycemia in Korean prediabetics: One-year results from a randomised controlled trial",2019,Diabetes,,,Prediabetes,"Glycemic control",,"Glucose,HbA1c",,No,"Alcohol use cessation/reduction,Diet,Physical activity",Other,"More than once",Real-time,"None explicitly stated",
16351,"Kelli.Richardson,Michelle.Jospe",3,"Napolitano, M. A., Hayes, S., Bennett, G. G., Ives, A. K., Foster, G. D.","Using Facebook and text messaging to deliver a weight loss program to college students",2013,Overweight/Obesity,,,,"Weight management ",,Weight/BMI,,No,"Diet,Physical activity",Self-measurement,"More than once",Device/One-way,"None explicitly stated",
16352,"Kelli.Richardson,Michelle.Jospe",3,"Napolitano, M. A., Whiteley, J. A., Mavredes, M., Tjaden, A. H., Simmens, S., Hayman, L. L., Faro, J., Winston, G., Malin, S., DiPietro, L.","Effect of tailoring on weight loss among young adults receiving digital interventions: an 18 month randomized controlled trial",2021,Overweight/Obesity,,,,"Weight management ",,Weight/BMI,,No,"Diet,Physical activity",Self-measurement,"More than once","Device,Device/One-way","None explicitly stated",
16438,"Kelli.Richardson,Michelle.Jospe",3,"Neighbors, C., Lee, C. M., Lewis, M. A., Fossos, N., Walter, T.","Internet-based personalized feedback to reduce 21st-birthday drinking: a randomized controlled trial of an event-specific prevention intervention",2009,"Substance use",,,,"Substance use cessation/reduction",,"Alcohol intake biomarkers",,No,"Alcohol use cessation/reduction",Algorithm,Once,One-way,"None explicitly stated",
16464,"Kelli.Richardson,Michelle.Jospe",3,"Nemanic, T., Sarc, I., Skrgat, S., Flezar, M., Cukjati, I., Marc Malovrh, M.","Telemonitoring in asthma control: a randomized controlled trial",2019,"Respiratory disease",,,,"Respiratory disease management",,"Pulmonary function",,No,"Medication/treatment use or adherence",Self-measurement,"More than once",Device,"Self-Efficacy Theory","No, theory acknowledged in discussion"
16508,"Kelli.Richardson,Michelle.Jospe",3,"Neupane, D., McLachlan, C. S., Mishra, S. R., Olsen, M. H., Perry, H. B., Karki, A., Kallestrup, P.","Effectiveness of a lifestyle intervention led by female community health volunteers versus usual care in blood pressure reduction (COBIN): an open-label, cluster-randomised trial",2018,CVD,,,,"Blood pressure management",,"Blood pressure,Weight/BMI",,No,"Alcohol use cessation/reduction,Diet,Physical activity,Smoking cessation/reduction,Stress management",Other,"More than once",Real-time,"Health Belief Model","Yes, study design guided by theory"
16545,"Kelli.Richardson,Michelle.Jospe",3,"Nezami, B. T., Ward, D. S., Lytle, L. A., Ennett, S. T., Tate, D. F.","A mHealth randomized controlled trial to reduce sugar-sweetened beverage intake in preschool-aged children",2018,Overweight/Obesity,,,,"Weight management ",,Weight/BMI,,No,Diet,Self-measurement,"More than once",Device/One-way,"Self-Efficacy Theory,Social Cognitive Theory","Yes, study design guided by theory"
16602,"Kelli.Richardson,Michelle.Jospe",3,"Nichols, J. A. A., Grob, P., Kite, W., Williams, P., de Lusignan, S.","Using a genetic/clinical risk score to stop smoking (GeTSS): randomised controlled trial",2017,Cancer,,"At risk",,"Substance use cessation/reduction",,Genetics,,Yes,"Smoking cessation/reduction",Other,Once,Real-time,"Transtheoretical Model","No, theory acknowledged in discussion"
16619,"Kelli.Richardson,Michelle.Jospe",3,"Nicolucci, A., Cercone, S., Chiriatti, A., Muscas, F., Gensini, G.","A Randomized Trial on Home Telemonitoring for the Management of Metabolic and Cardiovascular Risk in Patients with Type 2 Diabetes",2015,Diabetes,,,"Type 2 diabetes",Other,"CVD risk reduction and glycemic control","Blood pressure,Glucose,Weight/BMI",,No,"None explicitly stated",Self-measurement,"More than once",Device/One-way/Real-time,"Other : Chronic care model","Yes, study design guided by theory"
16636,"Kelli.Richardson,Michelle.Jospe",3,"Nielsen, D. E., El-Sohemy, A.","Disclosure of genetic information and change in dietary intake: a randomized controlled trial",2014,"General health promotion",,,,"Behavior change",,Genetics,,No,Diet,Other,Once,One-way,"None explicitly stated",
16654,"Kelli.Richardson,Michelle.Jospe",3,"Nieuwkerk, P. T., Nierman, M. C., Vissers, M. N., Locadia, M., Greggers-Peusch, P., Knape, L. P., Kastelein, J. J., Sprangers, M. A., de Haes, H. C., Stroes, E. S.","Intervention to improve adherence to lipid-lowering medication and lipid-levels in patients with an increased cardiovascular risk",2012,CVD,,,,"Lipid management",,"Atherosclerotic plaque/artery calcification,Blood pressure,HbA1c,Lipids,Weight/BMI",,"Mixed use (some were,  some weren't)","Medication/treatment use or adherence,Physical activity,Smoking cessation/reduction",Other,"More than once",One-way/Real-time,"Other : Common sense model","No, theory acknowledged in discussion"
16680,"Kelli.Richardson,Michelle.Jospe",3,"Nilssen, O.","The Tromso Study: identification of and a controlled intervention on a population of early-stage risk drinkers",1991,"Substance use",,,,"Substance use cessation/reduction",,"Liver enzymes",,No,"Alcohol use cessation/reduction",Other,"More than once","Real-time,One-way/Real-time","None explicitly stated",
16699,"Kelli.Richardson,Michelle.Jospe",3,"Nishi, M., Kelleher, V., Cronin, M., Allen, F.","The effect of mobile personalised texting versus non-personalised texting on the caries risk of underprivileged adults: a randomised control trial",2019,Other,"Dental health",,,Other,"Reduced risk of new cavities","Other : saliva tests, dental plaque",,Yes,"Diet,Medical visit/consultation,Other : teeth brushing",Other,Once,One-way,"None explicitly stated",
16701,"Kelli.Richardson,Michelle.Jospe",3,"Nishimura, A., Harashima, S., Honda, I., Shimizu, Y., Harada, N., Nagashima, K., Hamasaki, A., Hosoda, K., Inagaki, N.","Color record in self-monitoring of blood glucose improves glycemic control by better self-management",2014,Diabetes,,,"Type 2 diabetes","Glycemic control",,Glucose,,No,"Diet,Physical activity",Self-measurement,"More than once",Device,"None explicitly stated",
16702,"Kelli.Richardson,Michelle.Jospe",3,"Nishimura, A., Harashima, S. I., Fujita, Y., Tanaka, D., Wang, Y., Liu, Y., Inagaki, N.","Effects of structured testing versus routine testing of blood glucose in diabetes self-management: A randomized controlled trial",2017,Diabetes,,,"Type 2 diabetes","Glycemic control",,Glucose,,No,"Diet,Physical activity",Self-measurement,"More than once",Device,"None explicitly stated",
16754,"Kelli.Richardson,Michelle.Jospe",3,"Nolan, R. P., Upshur, R. E., Lynn, H., Crichton, T., Rukholm, E., Stewart, D. E., Alter, D. A., Chessex, C., Harvey, P. J., Grace, S. L., Picard, L., Michel, I., Angus, J., Corace, K., Barry-Bianchi, S. M., Chen, M. H.","Therapeutic benefit of preventive telehealth counseling in the Community Outreach Heart Health and Risk Reduction Trial",2011,CVD,,,,"Behavior change",,"Blood pressure,Lipids",,Yes,"Diet,Physical activity,Smoking cessation/reduction",Other,Once,Real-time,"Transtheoretical Model","Yes, study design guided by theory"
16941,"Kelli.Richardson,Michelle.Jospe",3,"O'Donnell, M., Alvarez-Iglesias, A., McGuire, B. E., Dinneen, S. F.","The impact of sharing personalised clinical information with people with type 2 diabetes prior to their consultation: A pilot randomised controlled trial",2016,Diabetes,,,"Type 2 diabetes","Glycemic control",,"Blood pressure,HbA1c,Lipids,Weight/BMI",,No,"None explicitly stated",Other,"More than once",One-way,"Self-Efficacy Theory","Yes, study design guided by theory"
16952,"Kelli.Richardson,Michelle.Jospe",3,"O'Kane, M. J., Bunting, B., Copeland, M., Coates, V. E., group, Esmon study","Efficacy of self monitoring of blood glucose in patients with newly diagnosed type 2 diabetes (ESMON study): randomised controlled trial",2008,Diabetes,,,"Type 2 diabetes","Glycemic control",,"Electrolyte balance,Glucose,HbA1c,Lipids",,No,"Diet,Physical activity","Self-measurement,Other","More than once","Real-time,Device/Real-time","None explicitly stated",
16959,"Kelli.Richardson,Michelle.Jospe",3,"O'Malley, P. G., Feuerstein, I. M., Taylor, A. J.","Impact of electron beam tomography, with or without case management, on motivation, behavioral change, and cardiovascular risk profile: a randomized controlled trial",2003,CVD,,,,Other,"CVD risk reduction","Atherosclerotic plaque/artery calcification,Blood pressure,HbA1c,Lipids",,"Mixed use (some were,  some weren't)","Diet,Physical activity,Smoking cessation/reduction",Other,Once,Real-time,"Transtheoretical Model","Yes, study design guided by theory"
17033,"Kelli.Richardson,Michelle.Jospe",3,"Ogedegbe, G., Tobin, J. N., Fernandez, S., Cassells, A., Diaz-Gloster, M., Khalida, C., Pickering, T., Schwartz, J. E.","Counseling African Americans to Control Hypertension: cluster-randomized clinical trial main effects",2014,CVD,,,,"Blood pressure management",,"Blood pressure",,No,Diet,Self-measurement,"More than once",Device/Real-time,"Other : chronic care model","Yes, study design guided by theory"
17041,"Kelli.Richardson,Michelle.Jospe",3,"Oh, B., Cho, B., Han, M. K., Choi, H., Lee, M. N., Kang, H. C., Lee, C. H., Yun, H., Kim, Y.","The Effectiveness of Mobile Phone-Based Care for Weight Control in Metabolic Syndrome Patients: Randomized Controlled Trial",2015,Other,"Metabolic syndrome",,,"Weight management ",,"Body composition/Body fat,Weight/BMI",,No,"Diet,Physical activity",Self-measurement,"More than once","Device/Real-time,Device/One-way/Real-time","None explicitly stated",
17044,"Kelli.Richardson,Michelle.Jospe",3,"Oh, E. G., Bang, S. Y., Hyun, S. S., Kim, S. H., Chu, S. H., Jeon, J. Y., Im, J. A., Lee, M. K., Lee, J. E.","Effects of a 6-month lifestyle modification intervention on the cardiometabolic risk factors and health-related qualities of life in women with metabolic syndrome",2010,Other,"Metabolic syndrome",,,Other,"MetS risk factor reduction","Blood pressure,Weight/BMI",,No,"Diet,Physical activity",Other,"More than once",Real-time,"None explicitly stated",
17052,"Kelli.Richardson,Michelle.Jospe",3,"Oh, J. A., Kim, H. S., Yoon, K. H., Choi, E. S.","A telephone-delivered intervention to improve glycemic control in type 2 diabetic patients",2003,Diabetes,,,"Type 2 diabetes","Glycemic control",,Glucose,,No,"Diet,Physical activity",Self-measurement,"More than once",Device/Real-time,"None explicitly stated",
17077,"Kelli.Richardson,Michelle.Jospe",3,"Ojji, D. B., Baldridge, A. S., Orji, A. I., Shedul, L. G., Ojji, O. I., Egenti, N. B., Nwankwo, A. M., Huffman, M. D.","Feasibility and effect of community health worker support and home monitoring for blood pressure control in Nigeria: a randomised pilot trial",2020,CVD,,,,"Blood pressure management",,"Blood pressure",,No,"Medication/treatment use or adherence",Self-measurement,"More than once",Device,"None explicitly stated",
17148,"Kelli.Richardson,Michelle.Jospe",3,"Oliveria, S. A., Dusza, S. W., Phelan, D. L., Ostroff, J. S., Berwick, M., Halpern, A. C.","Patient adherence to skin self-examination. effect of nurse intervention with photographs",2004,Cancer,,"At risk",,"Behavior change",,"Skin damage",,No,"Self-skin examination",Other,Once,Real-time,"Health Belief Model","Yes, study design guided by theory"
17158,"Kelli.Richardson,Michelle.Jospe",3,"Olry de Labry Lima, A., Bermudez Tamayo, C., Pastor Moreno, G., Bolivar Munoz, J., Ruiz Perez, I., Johri, M., Quesada Jimenez, F., Cruz Vela, P., de Los Rios Alvarez, A. M., Prados Quel, M. A., Moratalla Lopez, E., Dominguez Martin, S., Lopez de Hierro, J. A., Ricci Cabello, I.","Effectiveness of an intervention to improve diabetes self-management on clinical outcomes in patients with low educational level",2017,Diabetes,,,"Type 2 diabetes","Glycemic control",,HbA1c,,No,"Diet,Physical activity",Other,"More than once",Real-time,"None explicitly stated",
17166,"Kelli.Richardson,Michelle.Jospe",3,"Olson, C. M., Groth, S. W., Graham, M. L., Reschke, J. E., Strawderman, M. S., Fernandez, I. D.","The effectiveness of an online intervention in preventing excessive gestational weight gain: the e-moms roc randomized controlled trial",2018,Pregnancy/Postpartum,,,,"Weight management ",,Weight/BMI,,No,"Diet,Physical activity",Self-measurement,"More than once",Device/One-way,"Other : Integrative Model of Behavior Prediction, Behavior Model for Persuasive Design","Yes, study design guided by theory"
17172,"Kelli.Richardson,Michelle.Jospe",3,"Olson, R., Thompson, S. V., Elliot, D. L., Hess, J. A., Rhoten, K. L., Parker, K. N., Wright, R. R., Wipfli, B., Bettencourt, K. M., Buckmaster, A., Marino, M.","Safety and Health Support for Home Care Workers: The COMPASS Randomized Controlled Trial",2016,"General health promotion",,,,"Behavior change",,"Blood pressure,Glucose,Lipids,Weight/BMI,Other : grip strength",,No,"Diet,Physical activity",Other,Once,One-way/Real-time,"None explicitly stated",
17173,"Kelli.Richardson,Michelle.Jospe",3,"Olson, R., Wipfli, B., Thompson, S. V., Elliot, D. L., Anger, W. K., Bodner, T., Hammer, L. B., Perrin, N. A.","Weight Control Intervention for Truck Drivers: The SHIFT Randomized Controlled Trial, United States",2016,Overweight/Obesity,,,,"Weight management ",,"Blood pressure,Body composition/Body fat,Glucose,Weight/BMI",,No,"Diet,Physical activity,Sleep","Self-measurement,Other","Once,More than once",Device/One-way/Real-time,"None explicitly stated",
17240,"Kelli.Richardson,Michelle.Jospe",3,"Or, C., Tao, D.","A 3-Month Randomized Controlled Pilot Trial of a Patient-Centered, Computer-Based Self-Monitoring System for the Care of Type 2 Diabetes Mellitus and Hypertension",2016,Other,"t2dm and/or CVD",,,Other,"Glycemic control and bp management","Blood pressure,Glucose,Heart rate",,No,"Diet,Physical activity",Self-measurement,"More than once","Device,Device/One-way","None explicitly stated",
17270,"Kelli.Richardson,Michelle.Jospe",3,"Orsama, A. L., Lahteenmaki, J., Harno, K., Kulju, M., Wintergerst, E., Schachner, H., Stenger, P., Leppanen, J., Kaijanranta, H., Salaspuro, V., Fisher, W. A.","Active assistance technology reduces glycosylated hemoglobin and weight in individuals with type 2 diabetes: results of a theory-based randomized trial",2013,Diabetes,,,"Type 2 diabetes","Glycemic control",,"Blood pressure,Glucose,Weight/BMI",,No,Diet,Self-measurement,"More than once",Device/One-way,"IMB Model","Yes, study design guided by theory"
17289,"Kelli.Richardson,Michelle.Jospe",3,"Oshima, Y., Matsuoka, Y., Sakane, N.","Effect of weight-loss program using self-weighing twice a day and feedback in overweight and obese subject: a randomized controlled trial",2013,Overweight/Obesity,,,,"Weight management ",,Weight/BMI,,No,"None explicitly stated",Self-measurement,"More than once",Device,"None explicitly stated",
17311,"Kelli.Richardson,Michelle.Jospe",3,"Ostwald, S. K.","Changing employees' dietary and exercise practices: an experimental study in a small company",1989,"General health promotion",,,,"Behavior change",,"Glucose,Lipids",,No,"Diet,Physical activity",Other,Once,"One-way,One-way/Real-time","None explicitly stated",
17368,"Kelli.Richardson,Michelle.Jospe",3,"Pacanowski, C. R., Levitsky, D. A.","Frequent Self-Weighing and Visual Feedback for Weight Loss in Overweight Adults",2015,Overweight/Obesity,,,,"Weight management ",,Weight/BMI,,No,Diet,Self-measurement,"More than once",Device/One-way,"None explicitly stated",
17564,"Kelli.Richardson,Michelle.Jospe",3,"Park, J. J., Kelly, P., Carter, B. L., Burgess, P. P.","Comprehensive pharmaceutical care in the chain setting",1996,CVD,,,,"Blood pressure management",,"Blood pressure,Heart rate",,No,"Alcohol use cessation/reduction,Diet,Medication/treatment use or adherence,Physical activity,Smoking cessation/reduction",Other,"More than once",Real-time,"None explicitly stated",
17607,"Kelli.Richardson,Michelle.Jospe",3,"Parkes, G., Greenhalgh, T., Griffin, M., Dent, R.","Effect on smoking quit rate of telling patients their lung age: the Step2quit randomised controlled trial",2008,"Substance use",,,,"Substance use cessation/reduction",,"Pulmonary function",,"Mixed use (some were,  some weren't)","Smoking cessation/reduction",Other,Once,"One-way,One-way/Real-time","Transtheoretical Model","Yes, study design guided by theory"
17635,"Kelli.Richardson,Michelle.Jospe",3,"Parsons, S. N., Luzio, S. D., Harvey, J. N., Bain, S. C., Cheung, W. Y., Watkins, A., Owens, D. R.","Effect of structured self-monitoring of blood glucose, with and without additional TeleCare support, on overall glycaemic control in non-insulin treated Type 2 diabetes: the SMBG Study, a 12-month randomized controlled trial",2019,Diabetes,,,"Type 2 diabetes","Glycemic control",,Glucose,,No,"Diet,Physical activity",Self-measurement,"More than once","Device,Device/Real-time","None explicitly stated",
17689,"Kelli.Richardson,Michelle.Jospe",3,"Patel, M. L., Hopkins, C. M., Brooks, T. L., Bennett, G. G.","Comparing Self-Monitoring Strategies for Weight Loss in a Smartphone App: Randomized Controlled Trial",2019,Overweight/Obesity,,,,"Weight management ",,Weight/BMI,,No,Diet,Self-measurement,"More than once",Device/One-way,"Control Theory,Social Cognitive Theory,Other : CALO-RE taxonomy","Yes, study design guided by theory"
17694,"Kelli.Richardson,Michelle.Jospe",3,"Patel, M. S., Small, D. S., Harrison, J. D., Hilbert, V., Fortunato, M. P., Oon, A. L., Rareshide, C. A. L., Volpp, K. G.","Effect of Behaviorally Designed Gamification With Social Incentives on Lifestyle Modification Among Adults With Uncontrolled Diabetes: A Randomized Clinical Trial",2021,Diabetes,,,"Type 2 diabetes","Glycemic control",,Weight/BMI,,No,"Diet,Physical activity",Self-measurement,"More than once",Device/One-way,"Transtheoretical Model,Other : Prospect theory","Yes, study design guided by theory"
17732,"Kelli.Richardson,Michelle.Jospe",3,"Patten, C. A., Koller, K. R., Flanagan, C. A., Hiratsuka, V. Y., Hughes, C. A., Wolfe, A. W., Decker, P. A., Fruth, K., Brockman, T. A., Korpela, M., Gamez, D., Bronars, C., Murphy, N. J., Hatsukami, D., Benowitz, N. L., Thomas, T. K.","Biomarker feedback intervention for smoking cessation among Alaska Native pregnant women: Randomized pilot study",2019,Pregnancy/Postpartum,,,,"Substance use cessation/reduction",,Cotinine/Nicotine,,No,"Smoking cessation/reduction",Other,Once,Real-time,"Social Cognitive Theory","Yes, study design guided by theory"
17863,"Kelli.Richardson,Michelle.Jospe",3,"Pellegrini, C. A., Verba, S. D., Otto, A. D., Helsel, D. L., Davis, K. K., Jakicic, J. M.","The comparison of a technology-based system and an in-person behavioral weight loss intervention",2012,Overweight/Obesity,,,,"Weight management ",,Weight/BMI,,No,"Diet,Physical activity",Self-measurement,"More than once",Device/One-way,"None explicitly stated",
17924,"Kelli.Richardson,Michelle.Jospe",3,"Perez-Escamilla, R., Damio, G., Chhabra, J., Fernandez, M. L., Segura-Perez, S., Vega-Lopez, S., Kollannor-Samuel, G., Calle, M., Shebl, F. M., D'Agostino, D.","Impact of a community health workers-led structured program on blood glucose control among latinos with type 2 diabetes: the DIALBEST trial",2015,Diabetes,,,"Type 2 diabetes","Glycemic control",,Glucose,,No,"Diet,Medical visit/consultation,Medication/treatment use or adherence,Physical activity,Stress management",Self-measurement,"More than once",Device,"Transtheoretical Model,Other : problem-solving theory, Chronic Care Model framework","Yes, study design guided by theory"
17982,"Kelli.Richardson,Michelle.Jospe",3,"Persell, S. D., Peprah, Y. A., Lipiszko, D., Lee, J. Y., Li, J. J., Ciolino, J. D., Karmali, K. N., Sato, H.","Effect of Home Blood Pressure Monitoring via a Smartphone Hypertension Coaching Application or Tracking Application on Adults With Uncontrolled Hypertension: A Randomized Clinical Trial",2020,CVD,,,,"Blood pressure management",,"Blood pressure",,No,"Diet,Medication/treatment use or adherence,Physical activity,Sleep,Stress management",Self-measurement,"More than once","Device,Device/One-way","None explicitly stated",
18051,"Kelli.Richardson,Michelle.Jospe",3,"Petrella, R. J., Stuckey, M. I., Shapiro, S., Gill, D. P.","Mobile health, exercise and metabolic risk: a randomized controlled trial",2014,Other,"Metabolic syndrome",,,"Blood pressure management",,"Blood pressure,Glucose,Weight/BMI",,No,"Physical activity",Self-measurement,"More than once",Device,"None explicitly stated",
18083,"Kelli.Richardson,Michelle.Jospe",3,"Pezzin, L. E., Feldman, P. H., Mongoven, J. M., McDonald, M. V., Gerber, L. M., Peng, T. R.","Improving blood pressure control: results of home-based post-acute care interventions",2011,CVD,,,,"Blood pressure management",,"Blood pressure",,No,"Medication/treatment use or adherence",Self-measurement,"More than once","Device,Device/Real-time","None explicitly stated",
18109,"Kelli.Richardson,Michelle.Jospe",3,"Phelan, S., Phipps, M. G., Abrams, B., Darroch, F., Schaffner, A., Wing, R. R.","Randomized trial of a behavioral intervention to prevent excessive gestational weight gain: the Fit for Delivery Study",2011,Pregnancy/Postpartum,,,,"Weight management ",,Weight/BMI,,No,"Diet,Physical activity","Self-measurement,Other","More than once",Device/One-way/Real-time,"Other : Social learning theory","Yes, study design guided by theory"
18157,"Kelli.Richardson,Michelle.Jospe",3,"Piatt, G. A., Rodgers, E. A., Xue, L., Zgibor, J. C.","Integration and Utilization of Peer Leaders for Diabetes Self-Management Support: Results From Project SEED (Support, Education, and Evaluation in Diabetes)",2018,Diabetes,,,"Type 1 diabetes,Type 2 diabetes","Glycemic control",,"Blood pressure,HbA1c,Lipids",,No,"None explicitly stated",Other,Once,Unclear,"None explicitly stated",
18191,"Kelli.Richardson,Michelle.Jospe",3,"Piette, J. D., Datwani, H., Gaudioso, S., Foster, S. M., Westphal, J., Perry, W., Rodriguez-Saldana, J., Mendoza-Avelares, M. O., Marinec, N.","Hypertension management using mobile technology and home blood pressure monitoring: results of a randomized trial in two low/middle-income countries",2012,CVD,,,,"Blood pressure management",,"Blood pressure",,No,"Diet,Medication/treatment use or adherence",Self-measurement,"More than once",Device/One-way,"None explicitly stated",
18197,"Kelli.Richardson,Michelle.Jospe",3,"Piette, J. D., Weinberger, M., Kraemer, F. B., McPhee, S. J.","Impact of automated calls with nurse follow-up on diabetes treatment outcomes in a Department of Veterans Affairs Health Care System: a randomized controlled trial",2001,Diabetes,,,Unspecified,"Glycemic control",,Glucose,,No,"Medication/treatment use or adherence",Self-measurement,"More than once",Device/Real-time,"None explicitly stated",
18198,"Kelli.Richardson,Michelle.Jospe",3,"Piette, J. D., Weinberger, M., McPhee, S. J., Mah, C. A., Kraemer, F. B., Crapo, L. M.","Do automated calls with nurse follow-up improve self-care and glycemic control among vulnerable patients with diabetes?",2000,Diabetes,,,Unspecified,"Glycemic control",,Glucose,,No,"Diet,Medication/treatment use or adherence",Self-measurement,"More than once",Device/One-way/Real-time,"None explicitly stated",
18351,"Kelli.Richardson,Michelle.Jospe",3,"Pollak, K. I., Alexander, S. C., Bennett, G., Lyna, P., Coffman, C. J., Bilheimer, A., Farrell, D., Bodner, M. E., Swamy, G. K., Ostbye, T.","Weight-related SMS texts promoting appropriate pregnancy weight gain: a pilot study",2014,Pregnancy/Postpartum,,,,"Weight management ",,Weight/BMI,,No,"Diet,Physical activity",Self-measurement,"More than once",Device/One-way,"Social Cognitive Theory","Yes, study design guided by theory"
18353,"Kelli.Richardson,Michelle.Jospe",3,"Polley, B. A., Wing, R. R., Sims, C. J.","Randomized controlled trial to prevent excessive weight gain in pregnant women",2002,Pregnancy/Postpartum,,,,"Weight management ",,Weight/BMI,,No,"Diet,Physical activity",Other,"More than once",One-way/Real-time,"None explicitly stated",
18360,"Kelli.Richardson,Michelle.Jospe",3,"Polonsky, W. H., Fisher, L., Schikman, C. H., Hinnen, D. A., Parkin, C. G., Jelsovsky, Z., Petersen, B., Schweitzer, M., Wagner, R. S.","Structured self-monitoring of blood glucose significantly reduces A1C levels in poorly controlled, noninsulin-treated type 2 diabetes: results from the Structured Testing Program study",2011,Diabetes,,,"Type 2 diabetes","Glycemic control",,Glucose,,No,"Diet,Physical activity",Self-measurement,"More than once","Device,Device/Real-time","None explicitly stated",
18373,"Kelli.Richardson,Michelle.Jospe",3,"Ponzo, S., Morelli, D., Kawadler, J. M., Hemmings, N. R., Bird, G., Plans, D.","Efficacy of the Digital Therapeutic Mobile App BioBase to Reduce Stress and Improve Mental Well-Being Among University Students: Randomized Controlled Trial",2020,"Mental illness",,,,"Mental health improvement",,"Heart rate",,No,"Physical activity,Sleep,Stress management",Self-measurement,"More than once",Device/One-way,"Other : behavioral activation theory","Yes, study design guided by theory"
